volcano,camera code,camera name,start date/time,end date/time,framerate,resolution,notes
whiteisland,WICF,whiteislandfactory,2020-11-13T00:50:00Z,2020-11-13T02:00:00Z,1FPS,VGA 640x480,
whiteisland,WICF,whiteislandfactory,2020-11-23T20:45:00Z,2020-11-23T20:47:00Z,1FPS,VGA 640x480,mp4|8x speed
whiteisland,WICF,whiteislandfactory,2020-12-06T22:21:00Z,2020-12-06T22:22:00Z,1FPS,VGA 640x480,mp4
whiteisland,WICF,whiteislandfactory,2020-12-08T19:56:00Z,2020-12-08T20:01:00Z,1FPS,VGA 640x480,mp4|partial data loss
whiteisland,WINR,whiteislandnorthrim,2021-01-10T21:55:00Z,2021-01-10T21:56:00Z,1FPS,VGA 640x480,
whiteisland,WICF,whiteislandfactory,2021-02-18T16:13:00Z,2021-02-18T16:13:30Z,1FPS,VGA 640x480,
taranaki,TEMO,taranakiemergencymanagementoffice,2021-02-26T09:08:00Z,2021-02-26T09:10:00Z,1FPS,VGA 640x480,
raoul,RIMK,raoulislandmountmoumoukai,2021-03-04T17:41:00Z,2021-03-04T17:45:00Z,1FPS,VGA 640x480,
raoul,RIMK,raoulislandmountmoumoukai,2021-03-04T19:28:00Z,2021-03-04T19:28:48Z,1FPS,VGA 640x480,
ruapehu,XXXX,ruapehudome,2021-03-16T22:52:00Z,2021-03-17T02:59:00Z,0.5FPS,VGA 640x480,thermal|dual lenses
whiteisland,WINR,whiteislandnorthrim,2021-04-06T23:34:00Z,2021-04-06T23:37:00Z,6FPS,VGA 640x480,zoom
raoul,RIMK,raoulislandmountmoumoukai,2021-04-26T16:15:00Z,2021-04-26T16:25:00Z,1FPS,VGA 640x480,
raoul,RIMK,raoulislandmountmoumoukai,2021-04-27T16:15:00Z,2021-04-27T16:25:00Z,1FPS,VGA 640x480,
whiteisland,WINR,whiteislandnorthrim,2021-04-29T10:30:00Z,2021-04-29T10:41:00Z,1FPS,VGA 640x480,
whiteisland,WICF,whiteislandfactory,2021-04-29T10:30:00Z,2021-04-29T10:53:00Z,1FPS,VGA 640x480,partial data loss
whiteisland,WIWR,whiteislandwestrim,2021-05-12T23:43:00Z,2021-05-12T23:44:00Z,1FPS,VGA 640x480,
whiteisland,WIWR,whiteislandwestrim,2021-05-17T23:29:00Z,2021-05-17T23:31:00Z,1FPS,VGA 640x480,
whiteisland,WINR,whiteislandnorthrim,2021-06-04T00:25:00Z,2021-06-04T00:26:00Z,1FPS,VGA 640x480,zoom
whiteisland,WIWR,whiteislandwestrim,2021-06-07T00:15:00Z,2021-06-07T00:17:00Z,1FPS,VGA 640x480,
whiteisland,WIWR,whiteislandwestrim,2021-06-11T22:29:00Z,2021-06-11T22:31:00Z,1FPS,VGA 640x480,
whiteisland,WIWR,whiteislandwestrim,2021-06-11T22:31:00Z,2021-06-11T22:33:00Z,1FPS,VGA 640x480,
whiteisland,WIWR,whiteislandwestrim,2021-06-12T04:09:00Z,2021-06-17T04:11:00Z,1FPS,VGA 640x480,
whiteisland,WIWR,whiteislandwestrim,2021-06-12T04:19:00Z,2021-06-17T04:21:00Z,1FPS,VGA 640x480,
whiteisland,WIWR,whiteislandwestrim,2021-06-17T23:07:00Z,2021-06-17T23:09:00Z,1FPS,VGA 640x480,
whiteisland,WIWR,whiteislandwestrim,2021-06-17T23:09:00Z,2021-06-17T23:11:00Z,1FPS,VGA 640x480,
whiteisland,WIWR,whiteislandwestrim,2021-06-18T02:48:00Z,2021-06-18T02:50:00Z,6FPS,XGA 1024x768,zoom
whiteisland,WIWR,whiteislandwestrim,2021-06-18T03:42:00Z,2021-06-18T03:46:00Z,6FPS,XGA 1024x768,zoom
whiteisland,WINR,whiteislandnorthrim,2021-06-27T21:27:00Z,2021-06-27T21:29:00Z,6FPS,VGA 640x480,zoom
whiteisland,WINR,whiteislandnorthrim,2021-06-28T03:40:00Z,2021-06-28T03:41:00Z,6FPS,VGA 640x480,
whiteisland,WINR,whiteislandnorthrim,2021-06-30T01:15:00Z,2021-06-30T01:20:00Z,1FPS,VGA 640x480,
whiteisland,WINR,whiteislandnorthrim,2021-07-02T04:19:00Z,2021-07-02T04:21:00Z,1FPS,VGA 640x480,
whiteisland,WINR,whiteislandnorthrim,2021-07-02T07:55:00Z,2021-07-02T07:56:00Z,1FPS,VGA 640x480,zoom
whiteisland,WINR,whiteislandnorthrim,2021-07-02T07:57:00Z,2021-07-02T07:58:00Z,1FPS,VGA 640x480,zoom
whiteisland,WHOH,whakatanehub,2021-07-04T00:00:00Z,2021-07-04T00:40:00Z,1FPS,VGA 640x480,
whiteisland,WINR,whiteislandnorthrim,2021-07-05T02:59:00Z,2021-07-05T03:01:00Z,1FPS,VGA 640x480,
whiteisland,WINR,whiteislandnorthrim,2021-07-08T06:35:00Z,2021-07-08T06:37:00Z,1FPS,VGA 640x480,dual lenses
whiteisland,WIWR,whiteislandwestrim,2021-07-08T06:35:00Z,2021-07-08T06:37:00Z,3FPS,VGA 640x480,dual lenses|zoom
whiteisland,WINR,whiteislandnorthrim,2021-07-08T09:34:00Z,2021-07-08T09:35:00Z,1FPS,QXGA 2048x1536,
whiteisland,WINR,whiteislandnorthrim,2021-07-08T09:44:00Z,2021-07-08T09:45:00Z,1FPS,QXGA 2048x1536,
whiteisland,WINR,whiteislandnorthrim,2021-07-09T00:18:00Z,2021-07-09T00:20:00Z,6FPS,VGA 640x480,zoom
whiteisland,WIWR,whiteislandwestrim,2021-07-11T17:40:00Z,2021-07-11T17:45:00Z,1FPS,VGA 640x480,zoom
whiteisland,WIWR,whiteislandwestrim,2021-07-12T05:30:00Z,2021-07-12T05:40:00Z,1FPS,VGA 640x480,
whiteisland,WIWR,whiteislandwestrim,2021-07-12T05:40:00Z,2021-07-12T05:50:00Z,1FPS,VGA 640x480,
ruapehu,DISC,discoverylodge,2021-07-12T22:50:00Z,2021-07-12T23:00:00Z,1FPS,VGA 640x480,
whiteisland,WINR,whiteislandnorthrim,2021-07-18T23:49:00Z,2021-07-18T23:49:00Z,1FPS,VGA 640x480,
whiteisland,WIWR,whiteislandwestrim,2021-07-22T09:29:00Z,2021-07-12T09:31:00Z,1FPS,VGA 640x480,
ruapehu and tongariro,KMTP,taiping,2021-08-08T18:56:00Z,2021-08-08T18:57:00Z,1FPS,VGA 640x480,
whiteisland,WINR,whiteislandnorthrim,2021-08-21T19:39:00Z,2021-08-21T19:42:00Z,1FPS,VGA 640x480,
whiteisland,WINR,whiteislandnorthrim,2021-08-22T10:28:00Z,2021-08-22T10:32:00Z,1FPS,VGA 640x480,
whiteisland,WINR,whiteislandnorthrim,2021-08-22T22:45:00Z,2021-08-22T22:50:00Z,1FPS,VGA 640x480,
whiteisland,WINR,whiteislandnorthrim,2021-08-22T22:50:00Z,2021-08-22T23:00:00Z,1FPS,VGA 640x480,
